model,context_length,noise_ratio,entropy,correct
GPT2-Small,32,0.0,4.325656672318776,1
GPT2-Small,32,0.0,4.202566504478455,1
GPT2-Small,32,0.0,4.3301281332969666,1
GPT2-Small,32,0.0,4.302593767642975,1
GPT2-Small,32,0.0,4.245385448137919,1
GPT2-Small,32,0.0,4.348694443702698,1
GPT2-Small,32,0.0,4.353209356466929,1
GPT2-Small,32,0.0,4.294191062450409,1
GPT2-Small,32,0.0,4.316726605097453,1
GPT2-Small,32,0.0,4.25382524728775,1
GPT2-Small,32,0.0,4.248822768529256,1
GPT2-Small,32,0.0,4.420236686865489,1
GPT2-Small,32,0.0,4.22585517168045,0
GPT2-Small,32,0.0,4.372041821479797,1
GPT2-Small,32,0.0,4.241762797037761,1
GPT2-Small,32,0.0,4.344466249148051,0
GPT2-Small,32,0.0,4.3947078585624695,1
GPT2-Small,32,0.0,4.281127115090688,1
GPT2-Small,32,0.0,4.384502192338307,1
GPT2-Small,32,0.0,4.405242184797923,1
GPT2-Small,32,0.0,4.475824236869812,1
GPT2-Small,32,0.0,4.3574758768081665,1
GPT2-Small,32,0.0,4.246658742427826,1
GPT2-Small,32,0.0,4.3306185603141785,0
GPT2-Small,32,0.0,4.3980018099149065,1
GPT2-Small,32,0.0,4.236953437328339,1
GPT2-Small,32,0.0,4.431621074676514,1
GPT2-Small,32,0.0,4.4424601793289185,1
GPT2-Small,32,0.0,4.270804822444916,1
GPT2-Small,32,0.0,4.304121633370717,0
GPT2-Small,32,0.0,4.45205287138621,1
GPT2-Small,32,0.0,4.401604930559794,1
GPT2-Small,32,0.0,4.233771204948425,1
GPT2-Small,32,0.0,4.29950213432312,1
GPT2-Small,32,0.0,4.245971441268921,1
GPT2-Small,32,0.0,4.319670220216115,0
GPT2-Small,32,0.0,4.454826593399048,1
GPT2-Small,32,0.0,4.287524183591207,1
GPT2-Small,32,0.0,4.204311867554982,1
GPT2-Small,32,0.0,4.3969205021858215,0
GPT2-Small,32,0.0,4.291183710098267,1
GPT2-Small,32,0.0,4.333390474319458,1
GPT2-Small,32,0.0,4.399439732233684,1
GPT2-Small,32,0.0,4.312766234079997,1
GPT2-Small,32,0.0,4.395388384660085,1
GPT2-Small,32,0.0,4.225105881690979,1
GPT2-Small,32,0.0,4.417698224385579,1
GPT2-Small,32,0.0,4.238751490910848,1
GPT2-Small,32,0.0,4.364846845467885,0
GPT2-Small,32,0.0,4.347353160381317,1
GPT2-Small,32,0.0,4.432653983434041,1
GPT2-Small,32,0.0,4.249322891235352,1
GPT2-Small,32,0.0,4.262170930703481,1
GPT2-Small,32,0.0,4.359182059764862,1
GPT2-Small,32,0.0,4.340900381406148,1
GPT2-Small,32,0.0,4.284276306629181,1
GPT2-Small,32,0.0,4.281846026579539,1
GPT2-Small,32,0.0,4.354454934597015,1
GPT2-Small,32,0.0,4.266891539096832,1
GPT2-Small,32,0.0,4.314747015635173,1
GPT2-Small,32,0.0,4.353749454021454,1
GPT2-Small,32,0.0,4.335241377353668,1
GPT2-Small,32,0.0,4.434248427549998,0
GPT2-Small,32,0.0,4.275627752145131,1
GPT2-Small,32,0.0,4.263895213603973,1
GPT2-Small,32,0.0,4.351145724455516,1
GPT2-Small,32,0.0,4.302960991859436,1
GPT2-Small,32,0.0,4.261491417884827,1
GPT2-Small,32,0.0,4.412176311016083,1
GPT2-Small,32,0.0,4.447673400243123,0
GPT2-Small,32,0.0,4.368691325187683,1
GPT2-Small,32,0.0,4.268218159675598,1
GPT2-Small,32,0.0,4.258016208807628,1
GPT2-Small,32,0.0,4.264234085877736,1
GPT2-Small,32,0.0,4.31816691160202,1
GPT2-Small,32,0.0,4.326232512791951,1
GPT2-Small,32,0.0,4.447709838549296,0
GPT2-Small,32,0.0,4.322067081928253,1
GPT2-Small,32,0.0,4.411848962306976,1
GPT2-Small,32,0.0,4.287503679593404,1
GPT2-Small,32,0.0,4.391695340474446,1
GPT2-Small,32,0.0,4.279034415880839,1
GPT2-Small,32,0.0,4.433113674322764,1
GPT2-Small,32,0.0,4.239240487416585,1
GPT2-Small,32,0.0,4.401715517044067,1
GPT2-Small,32,0.0,4.278862337271373,1
GPT2-Small,32,0.0,4.22011677424113,1
GPT2-Small,32,0.0,4.351803421974182,1
GPT2-Small,32,0.0,4.355585316816966,1
GPT2-Small,32,0.0,4.43564377228419,1
GPT2-Small,32,0.1,4.644400139649709,0
GPT2-Small,32,0.1,4.650071521600087,0
GPT2-Small,32,0.1,4.76829715569814,0
GPT2-Small,32,0.1,4.769297122955322,1
GPT2-Small,32,0.1,4.7555011510849,1
